t,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,tof
0.002000,0.000200,0.000012,0.017692,0.000000,0.000000,0.000000,1.456662
0.004000,3.775197,5.797380,0.506060,-0.000000,0.000002,0.000000,1.456606
0.006000,3.763153,5.782684,0.504799,-0.014207,0.011274,-0.000051,1.456532
0.008000,3.751509,5.768187,0.503370,-0.028353,0.022482,-0.000120,1.456438
0.010000,3.740248,5.753895,0.501779,-0.042439,0.033627,-0.000204,1.456325
0.012000,3.729351,5.739813,0.500033,-0.056466,0.044710,-0.000299,1.456192
0.014000,3.718804,5.725945,0.498139,-0.070435,0.055733,-0.000404,1.456039
0.016000,3.708750,5.712184,0.496057,-0.084347,0.066697,-0.000517,1.455866
0.018000,3.699407,5.698438,0.493698,-0.098200,0.077605,-0.000634,1.455673
0.020000,4.443521,-1.417478,12.543029,-0.111996,0.088460,-0.000753,1.455459
0.022000,4.927313,1.767685,20.946915,-0.062334,0.104475,-0.008053,1.455313
0.024000,4.760221,4.886516,17.569800,-0.044289,0.123228,-0.011574,1.455287
0.026000,4.501746,9.175873,16.308017,-0.055513,0.141026,-0.011852,1.455359
0.028000,4.685669,2.979790,16.704343,-0.103015,0.155837,-0.009388,1.455511
0.030000,4.704666,1.737653,17.180250,-0.094014,0.173031,-0.012207,1.455755
0.032000,4.433189,0.642768,14.554810,-0.074544,0.190597,-0.016230,1.456095
0.034000,4.716935,4.105673,17.320931,-0.043597,0.205893,-0.021745,1.456512
0.036000,4.621649,2.542496,16.280026,-0.043160,0.223654,-0.023440,1.457026
0.038000,4.569971,1.366364,16.510618,-0.028896,0.240975,-0.026770,1.457631
0.040000,4.553468,2.396108,16.172286,-0.005765,0.257825,-0.031106,1.458328
0.042000,4.421279,5.231353,13.630217,0.007873,0.274561,-0.034348,1.459114
0.044000,4.365558,5.255565,12.936113,-0.005146,0.290469,-0.034730,1.459972
0.046000,4.337679,5.819117,13.048109,-0.018351,0.306044,-0.035143,1.460897
0.048000,3.974587,6.298496,8.857366,-0.037363,0.321267,-0.034922,1.461888
0.050000,4.200329,3.978895,10.906107,-0.059805,0.333544,-0.034676,1.462912
0.052000,4.185101,0.306472,12.538392,-0.063175,0.348126,-0.036457,1.463990
0.054000,4.266147,2.247917,12.567209,-0.031165,0.362432,-0.042253,1.465132
0.056000,4.206471,2.815106,11.599749,-0.016707,0.377687,-0.045843,1.466340
0.058000,4.166068,2.932141,11.152376,-0.006779,0.392607,-0.048926,1.467609
0.060000,4.003958,2.186212,9.718804,0.002103,0.407336,-0.051899,1.468934
0.062000,4.195629,4.461107,11.816867,0.018654,0.420646,-0.055849,1.470305
0.064000,4.149887,2.641602,12.078044,0.015191,0.435740,-0.057305,1.471738
0.066000,3.839921,6.543036,7.759038,0.026921,0.450581,-0.060512,1.473235
0.068000,4.105771,3.037256,11.100779,0.004138,0.462498,-0.059926,1.474761
0.070000,4.114155,3.682503,11.359169,0.013315,0.477264,-0.062932,1.476347
0.072000,4.078285,3.722759,10.994418,0.016516,0.492163,-0.065334,1.477993
0.074000,4.073950,3.301935,11.752127,0.019374,0.506894,-0.067723,1.479698
0.076000,4.051594,3.942070,11.881954,0.024848,0.521591,-0.070474,1.481467
0.078000,4.013844,3.952630,11.398450,0.023945,0.536049,-0.072496,1.483301
0.080000,3.943338,3.201685,10.270574,0.022969,0.550296,-0.074527,1.485195
0.082000,3.915512,3.246425,9.979994,0.028297,0.564139,-0.077267,1.487143
0.084000,3.890064,3.285008,9.733752,0.033224,0.577847,-0.079958,1.489144
0.086000,3.866671,3.318336,9.525934,0.037806,0.591438,-0.082609,1.491195
0.088000,3.746983,2.461342,8.416666,0.042093,0.604927,-0.085223,1.493297
0.090000,3.841340,3.543627,9.402796,0.054511,0.617393,-0.088690,1.495440
0.092000,3.817590,4.030414,8.766353,0.056769,0.630839,-0.091062,1.497633
0.094000,3.800495,3.981244,8.712318,0.055186,0.644199,-0.092980,1.499873
0.096000,3.787381,3.375847,9.238267,0.054088,0.657535,-0.094970,1.502159
0.098000,3.671469,2.638378,8.282410,0.057880,0.670875,-0.097531,1.504496
0.100000,3.822808,4.632606,10.126854,0.068937,0.683096,-0.100861,1.506876
0.102000,3.770588,4.122772,9.451375,0.062941,0.696966,-0.102390,1.509313
0.104000,3.748392,4.056491,9.278619,0.061782,0.710498,-0.104418,1.511805
0.106000,3.727686,3.997342,9.131859,0.061256,0.723941,-0.106534,1.514351
0.108000,3.746676,4.542952,9.618657,0.061302,0.737311,-0.108727,1.516949
0.110000,3.728481,4.951892,9.093068,0.056436,0.750960,-0.110461,1.519605
0.112000,3.731164,4.726073,9.862608,0.048444,0.764550,-0.111857,1.522316
0.114000,3.683484,4.327805,9.480428,0.041860,0.778325,-0.113469,1.525088
0.116000,3.663698,4.671452,8.868035,0.037680,0.791720,-0.115313,1.527918
0.118000,3.647176,4.052740,9.285781,0.030876,0.805019,-0.116872,1.530802
0.120000,3.454434,4.223873,6.227754,0.029216,0.818359,-0.118999,1.533745
0.122000,3.454408,6.663324,6.540922,0.024978,0.829499,-0.120715,1.536721
0.124000,3.606739,4.877897,8.451246,-0.000718,0.840275,-0.120434,1.539730
0.126000,3.585985,4.841386,8.317084,-0.008501,0.853384,-0.121900,1.542794
0.128000,3.607559,4.030469,9.047824,-0.015895,0.866433,-0.123448,1.545913
0.130000,3.510131,2.690682,8.459924,-0.015996,0.880134,-0.125889,1.549093
0.132000,3.651609,4.769316,10.531149,-0.003748,0.892969,-0.129362,1.552331
0.134000,3.596924,3.339140,10.426682,-0.008870,0.907722,-0.131348,1.555645
0.136000,3.526833,4.754988,8.715914,-0.001982,0.922133,-0.134350,1.559035
0.138000,3.504517,4.734346,8.488745,-0.008833,0.935513,-0.136139,1.562488
0.140000,3.521399,5.335500,9.071630,-0.015539,0.948747,-0.137949,1.566003
0.142000,3.395384,7.159368,8.097092,-0.027534,0.962343,-0.139386,1.569585
0.144000,3.520766,5.869259,10.156342,-0.055292,0.974000,-0.139251,1.573223
0.146000,3.494252,5.748164,9.788306,-0.072532,0.988080,-0.140314,1.576939
0.148000,3.438210,4.725597,8.392352,-0.088770,1.001959,-0.141500,1.580731
0.150000,3.494855,2.904556,10.295040,-0.096956,1.015067,-0.143366,1.584589
0.152000,3.422554,4.190733,8.678242,-0.086042,1.029681,-0.146776,1.588533
0.154000,3.400255,3.998479,8.720390,-0.086293,1.043035,-0.149093,1.592548
0.156000,3.292910,3.224410,7.287487,-0.084640,1.056491,-0.151780,1.596637
0.158000,3.368925,4.668618,8.132685,-0.075992,1.068625,-0.154809,1.600787
0.160000,3.437740,2.039447,10.812114,-0.080592,1.081647,-0.156852,1.605007
0.162000,3.409810,2.262301,10.353113,-0.062261,1.096933,-0.160678,1.609325
0.164000,3.383956,2.462377,9.952408,-0.046087,1.111927,-0.164255,1.613738
0.166000,3.359895,2.642024,9.602795,-0.031839,1.126666,-0.167609,1.618245
0.168000,3.339312,3.013285,9.386834,-0.019309,1.141182,-0.170763,1.622843
0.170000,3.315584,3.075300,9.028418,-0.008819,1.155635,-0.173690,1.627533
0.172000,3.293492,3.133502,8.717786,0.001013,1.169852,-0.176511,1.632314
0.174000,3.272799,3.188373,8.448708,0.010247,1.183863,-0.179230,1.637183
0.176000,3.199464,2.796678,7.851708,0.018935,1.197698,-0.181854,1.642141
0.178000,3.286190,4.748532,9.525215,0.029910,1.210685,-0.184367,1.647181
0.180000,3.264309,4.727671,9.244193,0.025191,1.225336,-0.186234,1.652323
0.182000,3.236727,5.741082,9.226474,0.020624,1.239835,-0.188102,1.657567
0.184000,3.213558,5.035998,9.363991,0.007102,1.254241,-0.189366,1.662913
0.186000,3.194028,4.948194,9.067270,-0.000574,1.268690,-0.190982,1.668366
0.188000,3.175466,4.868587,8.807147,-0.007533,1.282966,-0.192639,1.673924
0.190000,2.363391,3.187255,8.581996,-0.013834,1.297092,-0.194332,1.679588
0.192000,2.410764,3.303305,8.384628,-0.018409,1.309185,-0.184385,1.685349
0.194000,2.447956,3.851640,7.867413,-0.022656,1.321326,-0.175369,1.691208
0.196000,2.479691,3.408185,8.141886,-0.030336,1.333333,-0.166893,1.697164
