t,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,tof
0.000000,-9.948401,0.003564,1.200194,0.000009,-0.170012,-0.000267,1.121008
0.002000,-9.867363,0.003566,1.256805,0.000036,-0.476990,-0.001072,1.119716
0.004000,-9.774307,0.003807,1.345030,0.000061,-0.782657,-0.001878,1.117621
0.006000,-25.750774,0.002724,1.071576,0.000082,-1.086831,-0.002685,1.114739
0.008000,-9.429008,0.004860,1.560394,0.000089,-1.638237,-0.003153,1.110478
0.010000,-9.281752,0.005707,1.733429,0.000095,-1.936932,-0.003954,1.105491
0.012000,-9.193552,0.006374,2.890880,0.000091,-2.233245,-0.004754,1.099806
0.014000,-8.992235,0.008079,3.001453,0.000176,-2.524351,-0.005097,1.093471
0.016000,-10.228158,0.006902,20.611625,0.000247,-2.812461,-0.005416,1.086521
0.018000,-10.017368,0.008406,19.671354,0.000202,-3.166145,-0.005068,1.078936
0.020000,-25.815741,0.006499,18.807654,0.000145,-3.517468,-0.004751,1.070754
0.022000,-9.167986,0.009724,17.278922,0.000088,-4.114089,-0.004333,1.061478
0.024000,-8.587023,0.010170,15.719300,0.000035,-4.451084,-0.004105,1.051736
0.026000,-7.881708,0.010709,14.211166,-0.000012,-4.775607,-0.003918,1.041590
0.028000,-23.048153,0.007608,13.071304,-0.000057,-5.084525,-0.003764,1.031109
0.030000,-5.999307,0.011526,11.494780,-0.000093,-5.621885,-0.003503,1.019879
0.032000,-4.954286,0.011861,10.291543,-0.000138,-5.889961,-0.003407,1.008489
0.034000,-3.821469,0.012185,9.192573,-0.000184,-6.134360,-0.003327,0.997012
0.036000,-2.619374,0.012320,8.192837,-0.000230,-6.352978,-0.003262,0.985518
0.038000,-1.368349,0.012339,7.279656,-0.000276,-6.544177,-0.003205,0.974074
0.040000,-0.128576,0.016907,6.657565,-0.000322,-6.706766,-0.003161,0.962742
0.042000,0.996335,0.019152,6.699325,-0.000504,-6.842373,-0.003678,0.951576
0.044000,2.133657,0.020244,6.727546,-0.000684,-6.957516,-0.004241,0.940617
0.046000,-12.166596,0.013704,8.087146,-0.000878,-7.052006,-0.004781,0.929899
0.048000,4.541724,0.022116,6.458153,-0.001018,-7.362362,-0.005014,0.919113
0.050000,5.647496,0.023376,6.384907,-0.001240,-7.412946,-0.005533,0.908653
0.052000,6.720124,0.024611,6.293319,-0.001480,-7.443212,-0.006039,0.898540
0.054000,-7.365611,0.016624,8.030363,-0.001733,-7.453786,-0.006523,0.888788
0.056000,75.490161,-0.004435,-24.441686,-0.001921,-7.676175,-0.006760,0.879123
0.058000,63.287363,-0.001055,-20.998304,-0.001987,-5.537936,-0.006422,0.872252
0.060000,53.314953,0.002461,-17.824218,-0.002059,-3.716243,-0.006220,0.867585
0.062000,45.120750,0.005830,-14.976395,-0.002142,-2.164862,-0.006133,0.864694
0.064000,33.758726,-0.020692,22.921868,-0.002237,-0.844879,-0.006147,0.863258
0.066000,40.546617,-0.009362,22.429134,-0.001940,0.103941,-0.005359,0.862988
0.068000,35.264780,-0.007897,21.909055,-0.001712,1.049254,-0.004847,0.863888
0.070000,30.503170,-0.005363,20.191381,-0.001493,1.861364,-0.004425,0.865814
0.072000,26.371661,-0.003479,18.236348,-0.001302,2.559945,-0.004076,0.868648
0.074000,22.851364,-0.001961,16.385558,-0.001137,3.160934,-0.003793,0.872295
0.076000,7.070034,-0.011649,15.676468,-0.000994,3.677766,-0.003562,0.876678
0.078000,17.394868,0.000594,13.022062,-0.000817,3.969683,-0.003232,0.881536
0.080000,15.283409,0.001486,11.490086,-0.000714,4.353033,-0.003087,0.887010
0.082000,13.531754,0.002278,10.065773,-0.000626,4.682148,-0.002965,0.893056
0.084000,12.095489,0.003006,8.751844,-0.000551,4.964486,-0.002860,0.899638
0.086000,10.934896,0.003695,7.550475,-0.000488,5.206500,-0.002769,0.906728
0.088000,10.014255,0.004360,6.462976,-0.000438,5.413786,-0.002688,0.914301
0.090000,-3.747599,-0.006623,5.942003,-0.000399,5.591199,-0.002615,0.922340
0.092000,8.788847,0.006187,4.664551,-0.000327,5.592481,-0.002416,0.930597
0.094000,8.395818,0.006877,3.918805,-0.000313,5.724403,-0.002374,0.939284
0.096000,8.132524,0.007460,3.271971,-0.000308,5.837359,-0.002339,0.948393
0.098000,-5.247054,-0.003952,2.718925,-0.000311,5.934170,-0.002313,0.957918
0.100000,7.915300,0.017136,2.422930,-0.000280,5.868493,-0.002161,0.967600
0.102000,7.875536,0.022114,2.364451,-0.000417,5.942558,-0.002517,0.977687
0.104000,7.866726,0.022592,2.500117,-0.000566,6.007359,-0.003005,0.988184
0.106000,-5.407650,0.007130,1.512519,-0.000699,6.064965,-0.003486,0.999101
0.108000,7.966797,0.024051,2.781396,-0.000737,5.968747,-0.003699,1.010154
0.110000,8.305411,0.025283,2.186246,-0.000849,6.018348,-0.004207,1.021641
0.112000,8.415165,0.025808,2.364786,-0.000957,6.061564,-0.004748,1.033566
0.114000,8.546295,0.026322,2.541152,-0.001051,6.101930,-0.005278,1.045948
0.116000,8.694487,0.026824,2.716784,-0.001134,6.140189,-0.005796,1.058808
0.118000,-4.562633,0.009434,0.781911,-0.001205,6.176948,-0.006302,1.072168
0.120000,9.025924,0.027561,3.029937,-0.001194,6.067433,-0.006489,1.085701
0.122000,9.194479,0.028018,3.207194,-0.001250,6.104715,-0.006963,1.099767
0.124000,9.369156,0.028460,3.387029,-0.001299,6.141446,-0.007425,1.114396
0.126000,9.547753,0.028889,3.570019,-0.001341,6.177894,-0.007872,1.129620
0.128000,9.728367,0.029304,3.756622,-0.001377,6.214263,-0.008306,1.145471
0.130000,-3.603253,0.010320,0.883412,-0.001408,6.250703,-0.008725,1.161989
0.132000,10.083014,0.029872,4.090402,-0.001370,6.146019,-0.008843,1.178789
0.134000,10.250848,0.030244,4.287204,-0.001396,6.185079,-0.009231,1.196313
0.136000,10.416599,0.030602,4.488248,-0.001418,6.224187,-0.009607,1.214607
0.138000,10.579233,0.030947,4.693632,-0.001438,6.263395,-0.009970,1.233720
0.140000,10.737861,0.031279,4.903395,-0.001456,6.302731,-0.010320,1.253705
0.142000,10.891728,0.031598,5.117523,-0.001472,6.342201,-0.010658,1.274620
0.144000,-2.495747,0.010971,1.081633,-0.001487,6.381796,-0.010982,1.296527
0.146000,11.174179,0.032004,5.496596,-0.001444,6.285882,-0.011050,1.318962
0.148000,11.301003,0.032289,5.721344,-0.001462,6.327864,-0.011348,1.342496
0.150000,11.422333,0.032564,5.949743,-0.001480,6.369627,-0.011636,1.367207
0.152000,11.537725,0.032829,6.181639,-0.001499,6.411163,-0.011913,1.393179
0.154000,11.646818,0.033085,6.416847,-0.001519,6.452456,-0.012181,1.420504
0.156000,11.749322,0.033331,6.655157,-0.001540,6.493479,-0.012439,1.449285
0.158000,-1.601366,0.010950,1.377855,-0.001563,6.534203,-0.012687,1.479635
0.160000,11.926033,0.033845,7.070571,-0.001530,6.445755,-0.012723,1.510984
0.162000,10.414006,0.031992,9.126927,-0.001561,6.487974,-0.012959,1.544105
0.164000,12.072005,0.034310,7.594261,-0.001583,6.544171,-0.013111,1.579243
0.166000,12.132585,0.034529,7.843116,-0.001618,6.585266,-0.013335,1.616467
0.168000,12.186887,0.034740,8.093330,-0.001656,6.625646,-0.013552,1.655957
0.170000,-1.032048,0.010317,1.703892,-0.001697,6.665296,-0.013763,1.697913
0.172000,12.269243,0.034995,8.524711,-0.001678,6.582005,-0.013779,1.741664
0.174000,-0.887358,0.007177,1.758550,-0.001729,6.622325,-0.013974,1.788269
0.176000,12.312135,0.035317,8.956425,-0.001711,6.541758,-0.013975,1.837014
0.178000,12.319750,0.035482,9.208531,-0.001772,6.582157,-0.014157,1.889086
0.180000,12.323488,0.035645,9.459679,-0.001836,6.621248,-0.014337,1.944815
0.182000,12.323265,0.034504,9.709631,-0.001904,6.659069,-0.014513,2.004578
0.184000,12.319477,0.019623,9.957952,-0.001973,6.695645,-0.014682,2.068805
0.186000,-0.549021,-0.006638,2.054489,-0.002017,6.730996,-0.014800,2.137990
0.188000,12.297404,0.013873,10.377021,-0.001991,6.652787,-0.014709,2.211336
0.190000,12.271925,0.017147,10.620722,-0.002040,6.687916,-0.014803,2.290688
0.192000,12.243570,0.019850,10.861705,-0.002100,6.721557,-0.014902,2.376780
0.194000,12.212309,0.022085,11.099756,-0.002170,6.753737,-0.015006,2.470470
0.196000,-0.336016,0.003242,2.250953,-0.002248,6.784477,-0.015113,2.572773
0.198000,12.140423,0.024685,11.497366,-0.002262,6.708131,-0.015078,2.682974
0.200000,12.090696,0.026077,11.727379,-0.002358,6.738250,-0.015189,2.804103
0.202000,12.039559,0.028065,11.953276,-0.002460,6.766668,-0.015303,2.937811
0.204000,11.987048,0.030080,12.174789,-0.002570,6.793415,-0.015417,3.086106
0.206000,-0.146098,0.007797,2.384527,-0.002686,6.818514,-0.015534,3.251443
0.208000,11.873288,0.033573,12.543351,-0.002727,6.743959,-0.015534,3.433931
0.210000,11.807028,0.033940,12.753081,-0.002858,6.767940,-0.015651,3.639652
0.212000,11.740900,0.034247,12.957258,-0.002994,6.790030,-0.015770,3.873240
0.214000,11.674859,0.034504,13.155730,-0.003136,6.810259,-0.015892,4.140657
0.216000,11.608899,0.034720,13.348334,-0.003282,6.828646,-0.016015,4.449694
0.218000,11.543056,0.034901,13.534901,-0.003434,6.845200,-0.016139,4.810740
0.220000,7.795698,0.001543,7.783208,-0.003592,6.859920,-0.016264,5.000000
0.222000,-2.603171,-0.020034,-1.859956,-0.004038,6.903193,-0.016093,5.000000
0.224000,8.421572,0.013624,10.392444,-0.004320,6.829924,-0.015809,5.000000
0.226000,-1.518800,-0.012504,-0.172865,-0.004690,6.841617,-0.015753,5.000000
0.228000,9.090535,0.019390,12.117821,-0.004898,6.758097,-0.015657,5.000000
0.230000,9.264405,0.022146,12.848051,-0.005204,6.759014,-0.015729,5.000000
0.232000,9.384588,0.024506,13.489845,-0.005488,6.754907,-0.015830,5.000000
0.234000,-0.463489,-0.002058,1.897767,-0.005754,6.746675,-0.015951,5.000000
0.236000,9.527082,0.028371,14.489462,-0.005882,6.654740,-0.015966,5.000000
0.238000,9.533793,0.029828,14.938716,-0.006123,6.642614,-0.016109,5.000000
0.240000,9.525166,0.031087,15.338726,-0.006354,6.627794,-0.016257,5.000000
0.242000,9.506420,0.034618,15.695196,-0.006576,6.610648,-0.016410,5.000000
0.244000,0.048569,0.003700,3.155937,-0.006729,6.591447,-0.016489,-1.000000
0.246000,9.465655,0.039435,16.238980,-0.006816,6.499070,-0.016535,-1.000000
0.248000,9.422595,0.039108,16.494051,-0.006889,6.478737,-0.016520,-1.000000
0.250000,9.383203,0.038839,16.720022,-0.006985,6.456460,-0.016537,-1.000000
0.252000,9.348633,0.038618,16.919312,-0.007100,6.432322,-0.016580,-1.000000
0.254000,9.319680,0.038435,17.093996,-0.007230,6.406367,-0.016644,-1.000000
0.256000,9.331828,0.039217,17.227330,-0.007376,6.378608,-0.016723,-1.000000
0.258000,0.675082,0.006949,3.595132,-0.007534,6.348803,-0.016820,-1.000000
0.260000,9.406553,0.038174,17.358396,-0.007583,6.258040,-0.016839,-1.000000
0.262000,9.432178,0.040071,17.422774,-0.007764,6.226582,-0.016943,-1.000000
0.264000,9.463703,0.039898,17.471723,-0.007961,6.192572,-0.017069,-1.000000
0.266000,9.497171,0.032775,17.506662,-0.008164,6.155967,-0.017199,-1.000000
0.268000,9.533264,0.033539,17.527741,-0.008359,6.116763,-0.017292,-1.000000
0.270000,1.489449,0.004795,3.174318,-0.008560,6.074945,-0.017389,-1.000000
0.272000,9.586354,0.034548,17.522754,-0.008651,5.982203,-0.017424,-1.000000
0.274000,9.568533,0.034869,17.417132,-0.008866,5.938019,-0.017526,-1.000000
0.276000,9.606191,0.035178,17.393595,-0.009085,5.893072,-0.017628,-1.000000
0.278000,9.661229,0.035280,17.340276,-0.009308,5.844976,-0.017730,-1.000000
