t,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,tof
0.000000,-5.575477,8.095294,-0.210872,0.000009,-0.170012,-0.000267,1.121008
0.002000,-5.566507,8.063727,-0.206084,-0.061232,-0.096147,0.060827,1.120656
0.004000,-5.555750,8.035174,-0.204309,-0.122279,-0.022215,0.121857,1.120432
0.006000,-5.634307,8.010400,-0.200903,-0.183224,0.051820,0.182831,1.120337
0.008000,-9.565023,-0.314307,-0.369889,-0.244164,0.123588,0.243783,1.120364
0.010000,-5.514565,7.048641,0.879824,-0.245986,0.135489,0.309605,1.120364
0.012000,-5.818211,-0.911011,10.681978,-0.280901,0.204330,0.362074,1.120487
0.014000,-6.035355,0.554261,13.145887,-0.081267,0.257515,0.372517,1.120747
0.016000,-6.207996,5.046875,20.310725,0.064544,0.305798,0.380886,1.121148
0.018000,-6.246631,5.295432,19.283494,0.068630,0.339729,0.417311,1.121693
0.020000,-6.276555,5.592016,18.165394,0.066004,0.376547,0.456766,1.122387
0.022000,-6.298226,5.741339,16.962118,0.054976,0.416424,0.499111,1.123230
0.024000,-10.377490,-0.314601,15.743694,0.039834,0.459497,0.543521,1.124225
0.026000,-6.299818,5.889988,14.663305,0.027524,0.441649,0.599397,1.125211
0.028000,-6.305020,5.909606,13.649326,0.008698,0.491138,0.646808,1.126354
0.030000,-6.308359,5.937536,12.738563,-0.010798,0.543406,0.695428,1.127656
0.032000,-6.309520,5.976031,11.917689,-0.031324,0.598259,0.745185,1.129120
0.034000,-10.435705,-0.072170,11.149505,-0.053281,0.655529,0.796021,1.130748
0.036000,-6.279344,6.136492,10.496957,-0.072508,0.649103,0.854872,1.132375
0.038000,-6.271396,6.202712,9.869133,-0.099527,0.711105,0.907815,1.134173
0.040000,-6.258541,6.281776,9.283271,-0.128956,0.775111,0.961631,1.136147
0.042000,-6.239791,6.374340,8.730111,-0.161195,0.841039,1.016247,1.138301
0.044000,-6.214053,6.480848,8.201601,-0.196652,0.908819,1.071574,1.140640
0.046000,-6.180266,6.601193,7.691657,-0.235737,0.978384,1.127499,1.143168
0.048000,-10.386779,0.656588,7.196099,-0.278848,1.049670,1.183884,1.145890
0.050000,-6.063208,6.931523,6.719509,-0.321054,1.053231,1.242062,1.148629
0.052000,-6.000795,7.082602,6.243870,-0.374334,1.128080,1.299016,1.151573
0.054000,-5.925443,7.248130,5.769524,-0.432503,1.204405,1.355843,1.154728
0.056000,-4.551440,4.751383,5.457385,-0.495934,1.282127,1.412287,1.158102
0.058000,-8.109308,-0.101692,5.024625,-0.561147,1.376537,1.460037,1.161744
0.060000,-4.702291,5.805936,4.511197,-0.626022,1.411159,1.505075,1.165494
0.062000,-4.724506,6.284261,4.037673,-0.704703,1.502286,1.552760,1.169511
0.064000,-4.667179,6.784480,3.445088,-0.789667,1.592178,1.599250,1.173798
0.066000,-4.339734,8.079229,1.616629,-0.883130,1.681079,1.643634,1.178357
0.068000,-4.383256,8.363437,1.349851,-1.007361,1.764508,1.682270,1.183175
0.070000,-4.345526,8.687700,1.009240,-1.134312,1.843838,1.718421,1.188249
0.072000,-4.167913,9.069955,0.596008,-1.265371,1.919697,1.751299,1.193578
0.074000,-4.046552,9.217031,0.444445,-1.402345,1.994285,1.785031,1.199169
0.076000,-7.899205,2.867211,1.567955,-1.540071,2.068989,1.816226,1.205035
0.078000,-3.877527,9.032970,0.793332,-1.644649,2.093199,1.840531,1.211043
0.080000,-3.720387,9.175013,0.573824,-1.773911,2.171106,1.869424,1.217362
0.082000,-3.551565,9.300169,0.369977,-1.905233,2.248782,1.895424,1.224008
0.084000,-3.313378,9.554591,-0.105781,-2.038371,2.326205,1.918372,1.230996
0.086000,-3.137342,9.625714,-0.217605,-2.177504,2.400416,1.933579,1.238332
0.088000,-2.952549,9.697380,-0.324053,-2.316806,2.474452,1.945425,1.246034
0.090000,-2.761616,9.759912,-0.422995,-2.456207,2.548258,1.953840,1.254124
0.092000,-7.032276,3.617768,-0.350832,-2.595580,2.621746,1.958726,1.262621
0.094000,-2.288812,9.931719,-0.569147,-2.712432,2.636225,1.950112,1.271346
0.096000,-2.102965,9.955131,-0.649439,-2.852842,2.710488,1.948171,1.280522
0.098000,-1.910127,9.973151,-0.720881,-2.992648,2.783852,1.942481,1.290174
0.100000,-6.477932,3.713941,-0.900760,-3.131707,2.856261,1.932996,1.300327
0.102000,-1.413423,10.065447,-0.803494,-3.246772,2.868059,1.906857,1.310781
0.104000,-1.444327,9.336684,-0.500150,-3.385462,2.940457,1.890160,1.321789
0.106000,-1.033703,10.039114,-0.893611,-3.517640,3.014552,1.880501,1.333398
0.108000,-5.926119,3.726634,-1.373409,-3.653708,3.083843,1.855732,1.345619
0.110000,-0.524363,10.099742,-0.891470,-3.764577,3.090083,1.811636,1.358228
0.112000,-0.362947,10.078759,-0.879009,-3.899357,3.158821,1.779789,1.371516
0.114000,-0.202016,10.085378,-0.838721,-4.032708,3.225544,1.743982,1.385518
0.116000,-0.041526,10.094814,-0.785258,-4.164889,3.290315,1.704308,1.400274
0.118000,0.113596,10.086441,-0.709846,-4.295577,3.353198,1.660174,1.415825
0.120000,0.270032,10.072032,-0.626851,-4.425371,3.414280,1.611962,1.432217
0.122000,-4.439722,2.994850,-2.882489,-4.554087,3.473557,1.559745,1.449499
0.124000,0.831828,10.108092,-0.590931,-4.623455,3.462387,1.497191,1.467346
0.126000,0.952657,10.069686,-0.478750,-4.744618,3.519149,1.442450,1.486172
0.128000,1.075150,10.025347,-0.359035,-4.864443,3.573664,1.384084,1.506033
0.130000,1.222811,9.970075,-0.234607,-4.982798,3.625994,1.322194,1.526992
0.132000,1.414548,9.882899,-0.107645,-5.099473,3.676878,1.256841,1.549121
0.134000,-3.701813,2.911965,-2.845630,-5.214022,3.727665,1.187966,1.572506
