t,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,tof
0.000000,-9.582311,0.255032,-0.363183,0.000009,-0.170012,-0.000267,1.121008
0.002000,-5.545006,-8.091880,-0.216173,0.002369,-0.158099,-0.065913,1.120501
0.004000,-5.534816,-8.062289,-0.213703,0.063617,-0.083826,-0.127048,1.120123
0.006000,-5.522347,-8.035818,-0.214277,0.124749,-0.009463,-0.188122,1.119873
0.008000,-5.569618,-8.013017,-0.214691,0.185857,0.065031,-0.249148,1.119752
0.010000,-9.430145,1.031126,0.620025,0.247038,0.138060,-0.310160,1.119758
0.012000,-5.792391,0.617153,10.369884,0.226858,0.148252,-0.364231,1.119738
0.014000,-6.132664,-4.693598,19.208950,0.034703,0.201977,-0.375878,1.119854
0.016000,-6.181716,-4.863682,19.277477,0.015675,0.236856,-0.406148,1.120112
0.018000,-6.230233,-5.061508,18.475971,0.003304,0.272424,-0.440356,1.120512
0.020000,-10.302580,0.817424,17.382062,-0.003543,0.310247,-0.477489,1.121057
0.022000,-6.252947,-5.555883,16.331252,-0.007715,0.287412,-0.528383,1.121590
0.024000,-6.264575,-5.644310,15.232693,-0.000555,0.331274,-0.570994,1.122270
0.026000,-6.272392,-5.700437,14.204429,0.009297,0.378047,-0.615491,1.123101
0.028000,-10.359926,0.357486,13.244628,0.020984,0.427615,-0.661594,1.124085
0.030000,-6.259117,-5.858887,12.437748,0.029930,0.415093,-0.718212,1.125059
0.032000,-6.262720,-5.914451,11.678544,0.046461,0.470022,-0.767209,1.126191
0.034000,-6.263730,-5.977951,10.985938,0.065069,0.527201,-0.817432,1.127482
0.036000,-10.395418,0.040673,10.324347,0.086040,0.586523,-0.868810,1.128937
0.038000,-6.231667,-6.182346,9.763515,0.105067,0.581554,-0.927926,1.130389
0.040000,-6.221683,-6.267956,9.210529,0.132701,0.645198,-0.981510,1.132010
0.042000,-6.205764,-6.365698,8.685001,0.163449,0.710701,-1.035992,1.133805
0.044000,-6.182832,-6.475962,8.179953,0.197677,0.778013,-1.091275,1.135778
0.046000,-10.373382,-0.523210,7.680738,0.235754,0.847089,-1.147246,1.137933
0.048000,-6.089709,-6.783940,7.219700,0.272895,0.849013,-1.206598,1.140095
0.050000,-6.040924,-6.923541,6.750778,0.320751,0.921790,-1.263657,1.142449
0.052000,-5.980612,-7.076180,6.285313,0.373305,0.996151,-1.320897,1.145000
0.054000,-10.223143,-1.163467,5.835902,0.430905,1.072040,-1.378099,1.147754
0.056000,-5.795063,-7.483366,5.346261,0.487751,1.078181,-1.434253,1.150525
0.058000,-5.684099,-7.699326,4.875228,0.557784,1.157268,-1.490734,1.153511
0.060000,-5.563841,-7.896715,4.397690,0.633489,1.237541,-1.547406,1.156717
0.062000,-5.427945,-8.100056,3.922554,0.715396,1.319000,-1.602776,1.160150
0.064000,-5.240101,-8.377913,3.315209,0.803603,1.401536,-1.656486,1.163817
0.066000,-3.355211,-6.461597,1.868199,0.900600,1.484996,-1.707615,1.167727
0.068000,-7.093418,-1.088481,2.133681,1.020129,1.583649,-1.743624,1.171922
0.070000,-3.497574,-7.432317,1.228995,1.126003,1.621198,-1.775945,1.176242
0.072000,-3.453016,-7.966349,0.826198,1.255024,1.714062,-1.807536,1.180847
0.074000,-3.439030,-8.263026,0.645233,1.389918,1.804637,-1.840533,1.185741
0.076000,-3.626444,-8.128491,1.085924,1.526236,1.893941,-1.871262,1.190932
0.078000,-7.544385,-2.396801,1.490352,1.652707,1.980955,-1.901046,1.196431
0.080000,-3.508930,-8.555228,0.738397,1.758521,2.007242,-1.919944,1.202072
0.082000,-3.345479,-9.040375,0.136914,1.889094,2.090004,-1.943613,1.208032
0.084000,-7.282710,-3.054734,0.446190,2.028844,2.168687,-1.962740,1.214311
0.086000,-3.147045,-9.050709,-0.040700,2.147112,2.190959,-1.972315,1.220753
0.088000,-2.996724,-9.187642,-0.170367,2.287353,2.267476,-1.984406,1.227537
0.090000,-2.996997,-8.859015,0.179994,2.427855,2.343074,-1.993205,1.234678
