t,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,tof
0.000000,-22.410600,0.001421,0.054685,0.000009,-0.170012,-0.000267,1.121008
0.002000,-22.292388,0.001353,0.079435,0.000021,-0.349981,-0.000549,1.120025
0.004000,-22.170803,0.001352,0.117679,0.000032,-0.528201,-0.000829,1.118547
0.006000,-22.045181,0.001414,0.169038,0.000043,-0.704635,-0.001106,1.116581
0.008000,-21.914601,0.001533,0.233093,0.000053,-0.879233,-0.001381,1.114140
0.010000,-21.777904,0.001706,0.309383,0.000061,-1.051934,-0.001654,1.111233
0.012000,-21.469525,0.001350,2.402887,0.000069,-1.222653,-0.001924,1.107876
0.014000,-22.676419,0.000051,20.490910,0.000105,-1.396666,-0.002051,1.104079
0.016000,-22.668300,0.000782,19.723959,0.000091,-1.620743,-0.001900,1.099836
0.018000,-22.656779,0.001288,19.070240,0.000076,-1.843587,-0.001760,1.095159
0.020000,-22.576335,0.001582,17.954645,0.000062,-2.065359,-0.001633,1.090061
0.022000,-22.426116,0.001835,16.603138,0.000052,-2.284159,-0.001526,1.084561
0.024000,-22.215928,0.002077,15.232604,0.000046,-2.498429,-0.001437,1.078679
0.026000,-21.954685,0.002304,13.967272,0.000043,-2.707120,-0.001365,1.072439
0.028000,-21.640396,0.002468,12.811766,0.000041,-2.909527,-0.001306,1.065866
0.030000,-21.230207,0.002572,11.753678,0.000041,-3.104917,-0.001258,1.058987
0.032000,-20.753647,0.002640,10.773863,0.000043,-3.291874,-0.001217,1.051836
0.034000,-20.258727,0.002673,9.855335,0.000045,-3.469390,-0.001186,1.044443
0.036000,-19.703048,0.002670,8.994331,0.000049,-3.637155,-0.001162,1.036842
0.038000,-19.088243,0.002639,8.183102,0.000053,-3.794213,-0.001142,1.029067
0.040000,-18.417473,0.002586,7.414200,0.000058,-3.939629,-0.001124,1.021151
0.042000,-17.695051,0.002522,6.679889,0.000063,-4.072518,-0.001109,1.013128
0.044000,-16.926684,0.002455,5.973823,0.000068,-4.192062,-0.001096,1.005033
0.046000,-16.122728,0.002392,5.301617,0.000073,-4.297540,-0.001085,0.996897
0.048000,-15.295538,0.002338,4.671376,0.000077,-4.388433,-0.001076,0.988753
0.050000,-14.458656,0.002351,4.092474,0.000080,-4.464462,-0.001069,0.980629
0.052000,-13.744460,0.004454,3.910666,0.000081,-4.525617,-0.001065,0.972553
0.054000,-13.102219,0.004699,3.944750,0.000071,-4.574895,-0.001209,0.964547
0.056000,-12.456308,0.004937,3.962613,0.000060,-4.614110,-0.001348,0.956628
0.058000,-11.747817,0.006347,3.726692,0.000050,-4.643242,-0.001484,0.948813
0.060000,-11.116255,0.006609,3.739408,0.000012,-4.660205,-0.001703,0.941119
0.062000,-10.493228,0.006866,3.734534,-0.000025,-4.667509,-0.001911,0.933556
0.064000,-9.881878,0.007120,3.713019,-0.000062,-4.665326,-0.002107,0.926137
0.066000,-9.385901,0.007534,3.771390,-0.000099,-4.653881,-0.002293,0.918869
0.068000,-8.787514,0.007757,3.723171,-0.000137,-4.649230,-0.002475,0.911740
0.070000,-8.208167,0.007956,3.661846,-0.000174,-4.635612,-0.002645,0.904755
0.072000,-7.649557,0.008130,3.588721,-0.000211,-4.613371,-0.002804,0.897923
0.074000,33.014342,-0.013441,-16.052327,-0.000247,-4.582879,-0.002952,0.891248
0.076000,25.570442,-0.011104,-13.895006,-0.000182,-3.166593,-0.002455,0.886422
0.078000,19.485029,-0.008832,-12.007442,-0.000122,-1.961926,-0.002049,0.883089
0.080000,14.532931,-0.006745,-10.400184,-0.000071,-0.940314,-0.001721,0.880972
0.082000,10.488862,-0.004601,-9.042208,-0.000028,-0.075932,-0.001461,0.879856
0.084000,7.186410,-0.003047,-7.905242,0.000004,0.652941,-0.001269,0.879570
0.086000,4.360307,-0.001823,-4.993871,0.000030,1.265092,-0.001124,0.879975
0.088000,2.182292,-0.000724,-4.587510,0.000045,1.780848,-0.001019,0.880973
0.090000,0.424195,0.000194,-4.276151,0.000058,2.210068,-0.000945,0.882468
0.092000,-0.985072,0.000965,-4.040282,0.000068,2.564790,-0.000897,0.884380
0.094000,-2.104350,0.001613,-3.860990,0.000078,2.855467,-0.000871,0.886642
0.096000,-2.982599,0.002153,-3.722964,0.000086,3.091175,-0.000864,0.889195
0.098000,-3.660561,0.002596,-3.615113,0.000095,3.279797,-0.000875,0.891990
0.100000,-4.146244,0.003283,-3.791764,0.000103,3.428172,-0.000898,0.894984
0.102000,-4.553866,0.003586,-3.594647,0.000110,3.541662,-0.000945,0.898138
0.104000,-4.844406,0.003908,-3.422639,0.000118,3.626369,-0.001000,0.901418
0.106000,-5.037964,0.004118,-3.266851,0.000127,3.686442,-0.001064,0.904798
0.108000,-5.154209,0.004281,-3.139059,0.000138,3.725344,-0.001134,0.908251
0.110000,-5.205481,0.004415,-3.038559,0.000151,3.746423,-0.001207,0.911756
0.112000,-5.203196,0.004507,-2.967700,0.000166,3.752711,-0.001282,0.915293
0.114000,-5.156221,0.004575,-2.909749,0.000182,3.746997,-0.001359,0.918844
0.116000,-5.072832,0.004622,-2.862210,0.000201,3.731340,-0.001435,0.922396
0.118000,-4.960009,0.004651,-2.823013,0.000222,3.707493,-0.001510,0.925934
0.120000,-4.823640,0.004664,-2.790449,0.000245,3.676945,-0.001583,0.929447
0.122000,-4.668682,0.004664,-2.763098,0.000269,3.640960,-0.001654,0.932924
0.124000,-4.499305,0.004652,-2.739787,0.000295,3.600603,-0.001723,0.936356
0.126000,-4.319012,0.004631,-2.719546,0.000323,3.556773,-0.001788,0.939734
0.128000,-4.130732,0.004600,-2.701570,0.000352,3.510221,-0.001851,0.943051
0.130000,-3.936909,0.004562,-2.685199,0.000382,3.461576,-0.001909,0.946299
0.132000,-3.739575,0.004517,-2.669888,0.000414,3.411360,-0.001964,0.949474
0.134000,-3.540408,0.004466,-2.655190,0.000446,3.360003,-0.002016,0.952568
0.136000,-3.340786,0.004410,-2.640738,0.000479,3.307860,-0.002063,0.955578
0.138000,-3.141831,0.004349,-2.626236,0.000514,3.255217,-0.002107,0.958497
0.140000,-2.944447,0.004284,-2.611444,0.000548,3.202308,-0.002147,0.961322
0.142000,-2.742337,0.004137,-2.602352,0.000584,3.149316,-0.002183,0.964048
0.144000,-2.539883,0.004078,-2.595006,0.000620,3.096322,-0.002214,0.966672
0.146000,-2.342789,0.004014,-2.584707,0.000656,3.043409,-0.002241,0.969189
0.148000,-2.151041,0.003946,-2.571800,0.000693,2.990681,-0.002265,0.971595
0.150000,-1.964583,0.003873,-2.556563,0.000730,2.938215,-0.002287,0.973888
0.152000,-1.785827,0.003828,-2.537350,0.000767,2.886066,-0.002304,0.976063
0.154000,-1.613226,0.003745,-2.515549,0.000803,2.834294,-0.002320,0.978117
0.156000,-1.444815,0.003662,-2.492662,0.000840,2.782931,-0.002332,0.980048
0.158000,-1.280583,0.003577,-2.468662,0.000877,2.731979,-0.002342,0.981851
0.160000,-1.120484,0.003492,-2.443528,0.000914,2.681434,-0.002348,0.983523
0.162000,-0.964445,0.003405,-2.417241,0.000950,2.631284,-0.002352,0.985062
0.164000,-0.812374,0.003319,-2.389785,0.000986,2.581512,-0.002353,0.986465
0.166000,-0.664161,0.003231,-2.361143,0.001022,2.532097,-0.002351,0.987728
0.168000,-0.519687,0.003144,-2.331300,0.001058,2.483016,-0.002347,0.988847
0.170000,-0.378824,0.003056,-2.300240,0.001094,2.434243,-0.002340,0.989821
0.172000,-0.241442,0.002968,-2.267943,0.001129,2.385751,-0.002331,0.990646
0.174000,-0.107406,0.002881,-2.234388,0.001163,2.337513,-0.002320,0.991318
0.176000,0.023412,0.002793,-2.199554,0.001198,2.289502,-0.002307,0.991835
0.178000,0.152981,0.002728,-2.166513,0.001231,2.241690,-0.002292,0.992193
0.180000,0.282622,0.002633,-2.136730,0.001265,2.194145,-0.002275,0.992390
0.182000,0.409039,0.002539,-2.104213,0.001297,2.146983,-0.002256,0.992422
0.184000,0.532369,0.002446,-2.069147,0.001330,2.100147,-0.002235,0.992288
0.186000,0.652741,0.002354,-2.031677,0.001361,2.053584,-0.002212,0.991983
0.188000,0.770274,0.002263,-1.991912,0.001393,2.007247,-0.002188,0.991507
0.190000,0.885075,0.002174,-1.949935,0.001423,1.961095,-0.002162,0.990856
0.192000,0.997241,0.002085,-1.905801,0.001453,1.915093,-0.002134,0.990026
0.194000,1.106857,0.001998,-1.859548,0.001482,1.869207,-0.002104,0.989017
0.196000,1.213995,0.001911,-1.811197,0.001511,1.823412,-0.002073,0.987824
0.198000,1.318717,0.001826,-1.760753,0.001539,1.777682,-0.002041,0.986445
0.200000,1.421070,0.001742,-1.708214,0.001566,1.731996,-0.002007,0.984878
0.202000,1.521091,0.001658,-1.653563,0.001593,1.686337,-0.001972,0.983120
0.204000,1.617078,0.001514,-1.594976,0.001619,1.640690,-0.001936,0.981169
0.206000,1.710240,0.001436,-1.533836,0.001645,1.594976,-0.001897,0.979022
0.208000,1.801178,0.001339,-1.470740,0.001669,1.549170,-0.001857,0.976677
0.210000,1.889882,0.001182,-1.405632,0.001693,1.503267,-0.001817,0.974131
0.212000,1.976337,0.001029,-1.338455,0.001713,1.457270,-0.001780,0.971383
0.214000,2.060511,0.000877,-1.269152,0.001731,1.411179,-0.001745,0.968429
0.216000,2.142365,0.000727,-1.197666,0.001746,1.364999,-0.001714,0.965270
0.218000,2.224043,0.000578,-1.125280,0.001758,1.318736,-0.001685,0.961901
0.220000,2.303774,0.000429,-1.050897,0.001768,1.272458,-0.001659,0.958324
0.222000,2.380202,0.000282,-0.973688,0.001775,1.226187,-0.001636,0.954535
0.224000,2.453403,0.000136,-0.893698,0.001779,1.179911,-0.001616,0.950535
0.226000,2.523416,0.000037,-0.810958,0.001780,1.133627,-0.001600,0.946323
0.228000,2.590247,-0.000018,-0.725487,0.001780,1.087333,-0.001584,0.941897
0.230000,2.653875,-0.000070,-0.637301,0.001779,1.041036,-0.001568,0.937258
0.232000,2.711313,0.000272,-0.546849,0.001777,0.994746,-0.001551,0.932405
0.234000,2.759010,0.000130,-0.454131,0.001777,0.948459,-0.001524,0.927339
0.236000,2.805109,0.000006,-0.358730,0.001776,0.902143,-0.001499,0.922059
0.238000,2.849191,-0.000103,-0.260627,0.001773,0.855837,-0.001474,0.916566
0.240000,2.890876,-0.000200,-0.159815,0.001769,0.809581,-0.001450,0.910861
0.242000,2.929819,-0.000287,-0.056293,0.001765,0.763412,-0.001427,0.904945
0.244000,2.965702,-0.000364,0.049933,0.001759,0.717367,-0.001404,0.898819
0.246000,2.998231,-0.000434,0.158844,0.001753,0.671482,-0.001382,0.892485
0.248000,3.029872,-0.000497,0.271020,0.001745,0.625795,-0.001360,0.885945
0.250000,3.057327,-0.000532,0.385762,0.001737,0.580349,-0.001339,0.879202
0.252000,3.080308,-0.000565,0.503004,0.001728,0.535179,-0.001317,0.872257
0.254000,3.098639,-0.000596,0.622694,0.001718,0.490321,-0.001296,0.865114
0.256000,3.112151,-0.000625,0.744766,0.001707,0.445812,-0.001274,0.857776
0.258000,3.120676,-0.000652,0.869142,0.001695,0.401692,-0.001253,0.850246
0.260000,3.124052,-0.000677,0.995728,0.001683,0.357999,-0.001232,0.842528
0.262000,31.514218,-0.009227,18.656703,0.001669,0.314773,-0.001211,0.834626
0.264000,23.543687,-0.006676,16.528464,0.001080,0.361883,-0.001934,0.826859
0.266000,17.164854,-0.004878,14.896199,0.000583,0.392731,-0.002590,0.819176
0.268000,14.406506,-0.005379,12.693629,0.000171,0.404891,-0.003181,0.811525
0.270000,9.862105,-0.004101,11.873055,-0.000173,0.452683,-0.003705,0.803980
0.272000,6.160266,-0.003170,11.212516,-0.000448,0.471048,-0.004150,0.796466
0.274000,3.094139,-0.002396,10.667759,-0.000661,0.462109,-0.004545,0.788915
0.276000,0.520789,-0.002944,10.167985,-0.000820,0.427474,-0.004892,0.781266
0.278000,-1.604572,-0.001538,9.752294,-0.001000,0.369556,-0.005200,0.773463
0.280000,-3.353254,-0.000641,9.357655,-0.001132,0.289757,-0.005493,0.765457
0.282000,-4.787060,0.000982,8.975592,-0.001152,0.190826,-0.005510,0.757207
