t,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,tof
0.000000,-11.933903,-3.236887,0.004856,0.000009,-0.170012,-0.000267,1.121008
0.002000,-11.855055,-0.059308,0.015220,0.021381,-0.339086,0.000737,1.120052
0.004000,-11.795380,-3.227737,0.021668,0.020287,-0.506933,0.000557,1.118626
0.006000,-11.726090,-3.218781,0.035636,0.041594,-0.673840,0.001534,1.116735
0.008000,-11.656450,-3.210154,0.053184,0.062838,-0.839664,0.002454,1.114388
0.010000,-11.585474,-3.203617,0.075538,0.084023,-1.004400,0.003304,1.111594
0.012000,-11.781528,3.961526,9.177171,0.105166,-1.168030,0.004010,1.108363
0.014000,-12.109209,-0.019113,19.666236,-0.088268,-1.354294,0.037706,1.104700
0.016000,-12.106392,-2.479055,19.230693,-0.076469,-1.570069,0.029486,1.100603
0.018000,-12.096927,-2.490503,18.729866,-0.063913,-1.786732,0.023586,1.096081
0.020000,-12.057970,-0.028741,17.774311,-0.051809,-2.004271,0.018180,1.091145
0.022000,-12.000388,-2.470237,16.627256,-0.042785,-2.221265,0.012906,1.085805
0.024000,-11.928592,-2.426980,15.497860,-0.032678,-2.436888,0.009359,1.080077
0.026000,-11.849053,-2.387799,14.489129,-0.024237,-2.650815,0.006332,1.073976
0.028000,-11.760955,-2.354101,13.595087,-0.017259,-2.863068,0.003729,1.067521
0.030000,-11.663068,-2.324896,12.801372,-0.011520,-3.073644,0.001469,1.060729
0.032000,-11.554138,-2.299954,12.094214,-0.006835,-3.282485,-0.000514,1.053622
0.034000,-11.434690,0.170569,11.465683,-0.003048,-3.489476,-0.002272,1.046220
0.036000,-11.299781,-2.285470,10.891852,-0.002093,-3.694517,-0.005605,1.038545
0.038000,-11.152123,-2.269106,10.376110,0.000721,-3.897283,-0.006569,1.030621
0.040000,-10.989206,-2.257005,9.906304,0.002919,-4.097572,-0.007468,1.022472
0.042000,-10.815651,0.206004,9.481569,0.004610,-4.295079,-0.008317,1.014121
0.044000,-10.614923,-2.269467,9.078204,0.003738,-4.489639,-0.011386,1.005593
0.046000,-10.401868,-2.268554,8.708941,0.005137,-4.680554,-0.011371,0.996914
0.048000,-10.171853,-2.271308,8.364058,0.006228,-4.867583,-0.010823,0.988108
0.050000,-9.925125,-2.277556,8.039486,0.007087,-5.050325,-0.009721,0.979201
0.052000,-9.674816,0.211341,7.734825,0.007776,-5.228370,-0.008046,0.970217
0.054000,-9.383178,-2.321665,7.423298,0.005493,-5.401659,-0.012085,0.961180
0.056000,-9.088948,-2.336148,7.129497,0.006476,-5.568996,-0.009237,0.952115
0.058000,-8.800737,0.184545,6.856170,0.007441,-5.730322,-0.005751,0.943044
0.060000,-8.470281,-2.397707,6.584618,0.004630,-5.885840,-0.010567,0.933989
0.062000,-8.149507,-2.419123,6.336169,0.006244,-6.034327,-0.005817,0.924973
0.064000,-7.824014,-2.444297,6.104261,0.007980,-6.176084,-0.000363,0.916014
