t,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,tof
0.000000,16.808464,37.660360,2.872696,-0.000000,0.000002,0.000000,1.456606
0.002000,16.730452,37.576975,2.849387,-0.093987,0.065502,0.003859,1.456706
0.004000,16.658731,37.496234,2.818725,-0.187534,0.130261,0.006848,1.456958
0.006000,16.593004,37.417797,2.781091,-0.280648,0.194321,0.008980,1.457362
0.008000,16.534309,37.337925,2.736782,-0.373336,0.257722,0.010273,1.457916
0.010000,16.483306,37.255821,2.686297,-0.465600,0.320502,0.010900,1.458619
0.012000,16.736890,35.509613,5.001254,-0.557451,0.382698,0.011084,1.459471
0.014000,17.339760,27.161924,18.887135,-0.637886,0.446460,0.012918,1.460492
0.016000,1.003267,-10.333261,16.214041,-0.643542,0.517443,0.002790,1.461789
0.018000,17.450460,24.927619,22.747733,-0.555341,0.538025,-0.012722,1.463197
0.020000,17.487866,23.964415,25.110978,-0.541757,0.609603,-0.025299,1.464907
0.022000,17.069086,28.225376,17.717251,-0.527005,0.684656,-0.036961,1.466946
0.024000,16.978667,28.592779,16.884597,-0.552831,0.756046,-0.044168,1.469262
0.026000,16.346871,32.452726,10.341312,-0.581700,0.826176,-0.051439,1.471852
0.028000,16.289144,32.641389,9.772147,-0.641354,0.889699,-0.056278,1.474658
0.030000,17.218865,24.763524,22.814667,-0.702409,0.952103,-0.061564,1.477680
0.032000,0.588202,-9.948779,15.233131,-0.691726,1.023484,-0.074564,1.481026
0.034000,16.957048,27.126563,18.871859,-0.610452,1.041397,-0.090320,1.484487
0.036000,16.825246,27.536146,17.595189,-0.619565,1.110323,-0.100920,1.488247
0.038000,16.731940,27.953697,16.754186,-0.630196,1.176484,-0.112517,1.492296
0.040000,16.707613,27.323394,17.612670,-0.644905,1.242016,-0.123889,1.496631
0.042000,16.617893,27.716455,16.799537,-0.655412,1.307854,-0.135767,1.501266
0.044000,16.531384,28.094289,16.004732,-0.669823,1.373076,-0.147403,1.506198
0.046000,-0.011177,-8.295245,10.856651,-0.687966,1.437690,-0.158828,1.511429
0.048000,16.395906,27.696466,16.479922,-0.623541,1.449218,-0.173991,1.516757
0.050000,16.307767,28.182587,15.496138,-0.641048,1.513351,-0.184972,1.522395
0.052000,16.151866,30.362930,11.619079,-0.663180,1.576771,-0.195716,1.528342
0.054000,16.083695,30.573908,11.052396,-0.706461,1.637489,-0.204859,1.534575
0.056000,16.017859,30.754403,10.530984,-0.751939,1.697622,-0.214053,1.541098
0.058000,15.953801,30.908089,10.048683,-0.799344,1.757198,-0.223332,1.547914
0.060000,15.891008,31.038173,9.600094,-0.848442,1.816241,-0.232729,1.555029
0.062000,13.191868,27.419921,4.898222,-0.899029,1.874769,-0.242271,1.562449
0.064000,13.166540,24.785720,9.001292,-0.957109,1.921447,-0.254194,1.570112
0.066000,-2.421942,-8.918869,3.046717,-0.994602,1.973064,-0.259103,1.578071
0.068000,13.549196,26.536190,8.314892,-0.955460,1.972655,-0.266335,1.586099
0.070000,13.484872,29.205975,4.579024,-0.999668,2.024184,-0.271993,1.594433
0.072000,13.891048,25.129212,12.306252,-1.062250,2.070119,-0.279165,1.603040
0.074000,13.949678,27.068101,9.595766,-1.083858,2.126322,-0.286755,1.612016
0.076000,14.018607,27.718013,8.937389,-1.119049,2.179955,-0.295048,1.621347
0.078000,14.071347,28.282205,8.331323,-1.157931,2.233002,-0.304082,1.631043
0.080000,14.109588,28.771261,7.771418,-1.200059,2.285445,-0.313814,1.641111
0.082000,14.134957,29.192775,7.255073,-1.245043,2.337267,-0.324209,1.651560
0.084000,-1.273706,-5.825141,2.416716,-1.292526,2.388456,-0.335241,1.662400
0.086000,14.216796,29.094281,8.118991,-1.255619,2.389576,-0.351543,1.673392
0.088000,14.203958,28.762685,8.714523,-1.299991,2.442273,-0.362651,1.684811
0.090000,14.178313,29.117212,8.102441,-1.341165,2.495742,-0.374030,1.696684
0.092000,14.091597,28.596304,8.887411,-1.385079,2.548251,-0.385906,1.709021
0.094000,14.068237,29.426282,7.382385,-1.425691,2.600981,-0.397736,1.721850
0.096000,14.026892,29.726874,6.766700,-1.474028,2.651292,-0.410089,1.735174
0.098000,13.980335,29.984412,6.200164,-1.524885,2.700475,-0.422992,1.749007
0.100000,-1.070323,-4.350627,-0.338126,-1.577944,2.748550,-0.436460,1.763364
0.102000,13.914907,30.607412,5.332233,-1.552186,2.745069,-0.458332,1.777950
0.104000,13.849270,30.736896,4.906203,-1.610136,2.791188,-0.471618,1.793082
0.106000,13.779846,30.842713,4.509128,-1.669379,2.836281,-0.485550,1.808780
0.108000,13.706606,30.927717,4.137269,-1.729734,2.880356,-0.500138,1.825064
0.110000,13.595360,32.396993,1.318618,-1.791042,2.923414,-0.515391,1.841957
0.112000,13.553143,30.807065,3.862081,-1.865510,2.959680,-0.532368,1.859434
0.114000,13.471644,30.878124,3.494540,-1.926136,3.001662,-0.548892,1.877577
0.116000,-0.998768,-3.456217,-3.189054,-1.987651,3.042514,-0.566243,1.896411
0.118000,13.327519,31.170327,3.007929,-1.969119,3.034065,-0.591411,1.915599
0.120000,13.226259,31.168106,2.720652,-2.033262,3.072876,-0.608803,1.935519
