predictino_time,duration
0.210,0.930
0.250,0.770
0.208,0.560
0.250,0.482
0.208,0.500
0.208,0.448
0.250,0.544
0.334,0.524
0.250,0.922
0.250,0.548
0.250,0.536
0.250,0.540
0.250,0.542
0.334,0.524
0.292,0.648
0.250,0.986
0.250,0.524
0.250,0.746
0.250,0.552
0.250,0.680
0.250,0.476
0.292,1.132
0.250,0.458
0.250,0.456
0.208,0.536
0.250,0.472
0.250,0.476
0.250,0.460
0.250,0.532
0.292,1.176
0.208,0.520
0.208,0.660
0.250,0.874
0.208,0.664
0.208,0.548
0.292,0.826
0.250,0.480
0.250,0.966
0.292,0.648
0.250,0.926
0.208,0.454
0.250,0.684
0.250,0.862
0.250,0.878
0.292,1.052
0.208,0.444
0.250,0.522
0.292,0.826
0.208,0.476
0.250,1.448
0.250,0.564
0.250,0.530
0.208,0.930
0.250,0.476
0.292,0.564
0.250,0.496
0.250,0.486
0.250,0.534
0.250,0.632
0.166,1.384
0.250,0.476
0.292,0.512
0.292,1.060
0.250,0.488
0.250,0.594
0.292,0.802
0.208,0.446
0.250,1.202
0.250,0.576
0.250,0.466
0.292,1.058
0.250,0.470
0.250,0.478
0.250,0.466
0.250,0.514
0.208,0.484
0.208,0.446
0.208,0.598
0.208,0.504
0.250,0.494
0.250,0.554
0.334,0.582
0.250,1.052
0.250,0.910
0.208,0.494
0.250,0.866
0.250,0.544
0.250,0.714
0.208,0.488
0.376,0.518
0.250,0.522
0.250,0.836
0.334,0.520
0.250,0.490
0.250,0.476
0.250,0.946
0.292,0.768
0.208,0.624
0.208,0.480
0.208,0.528
0.250,0.506
0.250,0.586
0.292,0.700
0.208,0.450
0.250,0.658
0.250,0.894
0.250,0.524
0.250,0.714
0.250,1.294
0.208,0.476
0.250,0.486
0.292,0.608
0.208,0.516
0.292,0.980
0.208,0.536
0.250,1.616
0.292,1.054
0.250,1.022
0.334,0.712
0.292,0.922
0.208,0.450
0.250,0.472
0.208,0.502
0.292,0.576
0.250,0.502
0.250,0.458
0.250,0.516
0.334,1.002
0.250,1.260
0.292,1.288
0.250,0.490
0.250,1.186
0.250,0.502
0.250,0.484
0.250,0.492
0.292,1.380
0.292,0.516
0.250,0.572
0.250,0.542
0.208,0.500
0.208,0.450
0.250,1.452
0.250,0.464
0.334,0.524
0.292,0.662
0.334,1.022
0.250,0.754
0.250,0.826
0.250,0.472
0.250,0.566
0.250,0.480
0.250,0.572
0.250,0.550
0.250,0.910
0.250,0.480
0.250,0.550
0.250,1.086
0.250,0.562
0.250,0.586
0.250,0.484
0.250,0.624
0.250,0.582
0.208,0.506
0.208,0.530
0.292,0.672
0.250,0.514
0.208,0.508
0.250,0.590
0.250,0.504
0.208,0.544
0.334,0.526
0.292,0.880
0.292,1.110
0.250,0.534
0.250,0.502
0.250,0.790
0.250,0.574
0.292,0.552
0.208,0.540
0.250,0.516
0.250,0.480
0.208,0.454
0.250,0.512
0.292,0.584
0.292,0.838
0.208,0.452
0.250,0.800
0.250,0.576
0.250,0.514
0.250,1.052
0.208,0.732
0.250,0.476
0.250,1.374
0.208,0.510
0.250,0.552
0.250,0.616
0.250,0.538
0.250,0.494
0.250,0.544
0.250,0.670
